region;price;year;manufacturer;model;condition;cylinders;fuel;transmission;type;paint_color;state
bakersfield;64590;2019;audi;q8 premium sport utility 4d;good;6 cylinders;hybrid;other;other;blue;ca
gold country;64590;2019;audi;q8 premium sport utility 4d;good;6 cylinders;hybrid;other;other;blue;ca
anchorage / mat-su;64000;2021;ford;f250 super duty;like new;8 cylinders;diesel;automatic;truck;grey;ak
anchorage / mat-su;63995;2015;chevrolet;silverado 2500hd;excellent;8 cylinders;diesel;automatic;truck;black;ak
anchorage / mat-su;63995;2017;tesla;model s 100d awd;excellent;4 cylinders;electric;automatic;sedan;blue;ak
anchorage / mat-su;63995;2017;tesla;model s 100d awd;excellent;4 cylinders;electric;automatic;sedan;blue;ak
phoenix;63000;2019;gmc;sierra at4;excellent;8 cylinders;gas;automatic;truck;white;az
phoenix;63000;2018;chevrolet;camaro zl1;like new;8 cylinders;other;automatic;coupe;blue;az
phoenix;62999;2019;ford;f-150;excellent;6 cylinders;gas;automatic;truck;blue;az
anchorage / mat-su;62995;2020;lincoln;aviator;excellent;6 cylinders;gas;automatic;SUV;silver;ak
anchorage / mat-su;62995;2020;lincoln;aviator;excellent;6 cylinders;gas;automatic;SUV;silver;ak
montgomery;62990;2020;mercedes-benz;e-class e 450;good;6 cylinders;gas;other;coupe;red;al
anchorage / mat-su;62900;2020;toyota;sienna;new;6 cylinders;gas;automatic;mini-van;white;ak
anchorage / mat-su;62900;2020;toyota;sienna;new;6 cylinders;gas;automatic;mini-van;white;ak
humboldt county;62500;2018;gmc;sierra;like new;8 cylinders;diesel;automatic;truck;silver;ca
humboldt county;62500;2018;gmc;sierra;like new;8 cylinders;diesel;automatic;truck;silver;ca
anchorage / mat-su;61995;2019;cadillac;ct6;excellent;6 cylinders;gas;automatic;sedan;black;ak
huntsville / decatur;60990;2019;audi;q8 premium sport utility 4d;good;6 cylinders;gas;automatic;other;black;al
flagstaff / sedona;60990;2019;audi;q8 premium sport utility 4d;good;6 cylinders;gas;automatic;other;black;az
prescott;60990;2019;audi;q8 premium sport utility 4d;good;6 cylinders;gas;automatic;other;black;az
bakersfield;60990;2019;audi;q8 premium sport utility 4d;good;6 cylinders;gas;automatic;SUV;black;ca
chico;60990;2019;audi;q8 premium sport utility 4d;good;6 cylinders;gas;automatic;other;black;ca
texarkana;60000;1967;ford;bronco;excellent;8 cylinders;gas;automatic;offroad;red;ar
inland empire;60000;2016;ram;3500 laramie;like new;6 cylinders;diesel;automatic;pickup;white;ca
anchorage / mat-su;59995;2018;rover;velar;excellent;6 cylinders;gas;automatic;SUV;grey;ak
anchorage / mat-su;59995;2018;porsche;macan s awd;excellent;6 cylinders;gas;automatic;SUV;grey;ak
phoenix;59995;2021;jeep;gladiator;like new;6 cylinders;gas;automatic;truck;black;az
tucson;59995;2017;ford;f350 powerstroke xlt 4x4;like new;8 cylinders;diesel;automatic;truck;silver;az
los angeles;59995;2014;porsche;boxster;like new;6 cylinders;gas;automatic;coupe;white;ca
los angeles;59995;2018;porsche;boxster;like new;4 cylinders;gas;automatic;convertible;black;ca
birmingham;59990;2017;ford;super duty f-550 drw;good;8 cylinders;diesel;automatic;truck;white;al
huntsville / decatur;59990;2019;audi;q8 premium sport utility 4d;good;6 cylinders;gas;automatic;other;black;al
prescott;59990;2019;audi;q8 premium sport utility 4d;good;6 cylinders;gas;automatic;other;black;az
chico;59990;2019;audi;q8 premium sport utility 4d;good;6 cylinders;gas;automatic;other;black;ca
inland empire;59900;1956;chevrolet;210;excellent;8 cylinders;gas;automatic;coupe;white;ca
inland empire;59500;2020;cadillac;xt6;like new;6 cylinders;gas;automatic;SUV;red;ca
mobile;59000;2018;ford;f-150 raptor;excellent;6 cylinders;gas;automatic;truck;grey;al
mohave county;59000;2020;chevrolet;silverado trail boss;new;8 cylinders;gas;automatic;pickup;red;az
montgomery;58995;2018;chevrolet;camaro;excellent;8 cylinders;gas;automatic;coupe;silver;al
anchorage / mat-su;58988;2014;ram;2500 crew cab;excellent;6 cylinders;diesel;manual;truck;red;ak
anchorage / mat-su;58500;2020;toyota;tundra;like new;8 cylinders;gas;automatic;truck;red;ak
fayetteville;58500;2019;ford;expedition max limited 4x4;like new;6 cylinders;gas;automatic;SUV;black;ar
fresno / madera;58500;2013;ram;3500;excellent;6 cylinders;diesel;automatic;truck;grey;ca
los angeles;58000;2017;ford;mustang shelby gt350;like new;8 cylinders;gas;manual;coupe;white;ca
bakersfield;57995;2019;ford;super duty f-250 srw;excellent;8 cylinders;diesel;automatic;pickup;white;ca
inland empire;57995;2018;mercedes-benz;cls 550;like new;8 cylinders;gas;automatic;coupe;white;ca
los angeles;57995;2018;mercedes-benz;cls;like new;8 cylinders;gas;automatic;coupe;white;ca
los angeles;57900;2018;mercedes-benz;s-class;like new;6 cylinders;gas;automatic;sedan;black;ca
fresno / madera;57500;2015;bmw;i8;excellent;3 cylinders;gas;automatic;coupe;white;ca
phoenix;56997;2020;jeep;gladiator overland;like new;6 cylinders;gas;automatic;pickup;black;az
anchorage / mat-su;56995;2018;bmw;x5 m-sport awd;excellent;8 cylinders;gas;automatic;SUV;black;ak
bakersfield;56995;2001;porsche;911 turbo coupe;excellent;6 cylinders;gas;manual;coupe;silver;ca
los angeles;56500;2020;rover;defender 110;like new;4 cylinders;gas;automatic;SUV;blue;ca
flagstaff / sedona;56424;2020;chevrolet;tahoe lt;good;8 cylinders;gas;automatic;other;white;az
flagstaff / sedona;56424;2020;chevrolet;tahoe lt;good;8 cylinders;gas;automatic;other;white;az
flagstaff / sedona;56424;2020;chevrolet;tahoe lt;good;8 cylinders;gas;automatic;other;white;az
flagstaff / sedona;56424;2020;chevrolet;tahoe lt;good;8 cylinders;gas;automatic;other;white;az
flagstaff / sedona;56424;2020;chevrolet;tahoe lt;good;8 cylinders;gas;automatic;other;white;az
flagstaff / sedona;56424;2020;chevrolet;tahoe lt;good;8 cylinders;gas;automatic;other;white;az
anchorage / mat-su;56000;2018;porsche;macan s;excellent;6 cylinders;gas;automatic;SUV;silver;ak
anchorage / mat-su;55999;2016;ford;f-350 lariat 6.7 diesel;excellent;8 cylinders;diesel;automatic;truck;black;ak
anchorage / mat-su;55999;2016;ford;f-350 lariat 6.7 diesel;excellent;8 cylinders;diesel;automatic;truck;black;ak
anchorage / mat-su;55995;2019;ford;f-150;excellent;6 cylinders;gas;automatic;truck;white;ak
anchorage / mat-su;55995;2019;audi;sq5 prestige awd;excellent;6 cylinders;gas;automatic;SUV;black;ak
anchorage / mat-su;55995;2019;volvo;xc60 inscription awd;excellent;4 cylinders;hybrid;automatic;SUV;black;ak
anchorage / mat-su;55995;2019;volvo;xc60 inscription awd;excellent;4 cylinders;hybrid;automatic;SUV;black;ak
anchorage / mat-su;55995;2019;ford;f-150;excellent;6 cylinders;gas;automatic;truck;white;ak
anchorage / mat-su;55995;2019;audi;sq5 prestige awd;excellent;6 cylinders;gas;automatic;SUV;black;ak
los angeles;55995;2018;porsche;cayman;like new;4 cylinders;gas;automatic;coupe;black;ca
little rock;55900;2021;dodge;charger r/t scat pack;like new;8 cylinders;gas;automatic;sedan;white;ar
chico;55890;2020;gmc;yukon slt 4x4;like new;8 cylinders;gas;automatic;SUV;white;ca
fresno / madera;55680;2020;gmc;sierra 1500;like new;4 cylinders;gas;automatic;pickup;grey;ca
sierra vista;55590;2019;chevrolet;corvette stingray;good;8 cylinders;gas;other;coupe;white;az
bakersfield;55500;2015;ford;f350 super duty;excellent;8 cylinders;diesel;automatic;truck;grey;ca
birmingham;55000;2001;ford;excursion;excellent;10 cylinders;gas;automatic;SUV;blue;al
dothan;55000;2019;chevrolet;silverado;like new;8 cylinders;gas;automatic;truck;white;al
anchorage / mat-su;55000;2013;ford;f450 super duty;excellent;8 cylinders;diesel;automatic;truck;white;ak
anchorage / mat-su;55000;2013;ford;f450 super duty crew;like new;8 cylinders;diesel;automatic;pickup;white;ak
fresno / madera;55000;2017;bmw;x5 xdrive35d;like new;6 cylinders;diesel;automatic;SUV;white;ca
anchorage / mat-su;54995;2021;volvo;xc60 inscription awd;excellent;4 cylinders;gas;automatic;SUV;grey;ak
anchorage / mat-su;54995;2016;ford;f350 super duty 4x4;like new;8 cylinders;diesel;automatic;truck;white;ak
anchorage / mat-su;54995;2018;ram;2500 power wagon 4x4;excellent;8 cylinders;gas;automatic;pickup;white;ak
anchorage / mat-su;54995;2016;ford;f350 super duty 4x4;like new;8 cylinders;diesel;automatic;truck;white;ak
anchorage / mat-su;54995;2016;ford;f350 super duty 4x4;like new;8 cylinders;diesel;automatic;truck;white;ak
anchorage / mat-su;54995;2016;ford;f350 super duty 4x4;like new;8 cylinders;diesel;automatic;truck;white;ak
anchorage / mat-su;54995;2018;ram;2500 power wagon 4x4;excellent;8 cylinders;gas;automatic;pickup;white;ak
fresno / madera;54995;2019;jeep;wrangler unlimited;excellent;6 cylinders;gas;manual;SUV;grey;ca
bakersfield;54900;2013;ford;f550 4x4 crew cab;good;8 cylinders;diesel;automatic;truck;white;ca
bakersfield;54900;2019;ram;3500 4x4;good;6 cylinders;diesel;automatic;truck;grey;ca
bakersfield;54900;2011;ford;f650;good;6 cylinders;diesel;automatic;truck;white;ca
chico;54900;2013;ford;f550 4x4 crew cab;good;8 cylinders;diesel;automatic;truck;white;ca
chico;54900;2019;ram;3500 4x4;good;6 cylinders;diesel;automatic;truck;grey;ca
fresno / madera;54900;2013;ford;f550 4x4 crew cab;good;8 cylinders;diesel;automatic;truck;white;ca
fresno / madera;54900;2013;ford;f550 4x4 crew cab;good;8 cylinders;diesel;automatic;truck;white;ca
fresno / madera;54900;2019;ram;3500;good;6 cylinders;diesel;automatic;truck;grey;ca
inland empire;54900;2016;jeep;grand cherokee;excellent;8 cylinders;gas;automatic;wagon;white;ca
phoenix;54888;2015;gmc;denali;like new;8 cylinders;diesel;automatic;truck;blue;az
anchorage / mat-su;54750;2017;ford;f-250;excellent;8 cylinders;gas;automatic;pickup;grey;ak
anchorage / mat-su;54200;2020;chevrolet;silverado 2500hd;like new;8 cylinders;gas;automatic;truck;blue;ak
sierra vista;54200;2018;toyota;tundra;like new;8 cylinders;gas;automatic;truck;white;az
anchorage / mat-su;54000;2018;tesla;s;excellent;other;electric;automatic;sedan;white;ak
little rock;54000;2020;ram;1500;excellent;8 cylinders;gas;automatic;pickup;black;ar
chico;53990;2020;chevrolet;silverado 2500 hd crew;good;8 cylinders;diesel;other;pickup;white;ca
chico;53990;2019;chevrolet;silverado 2500 hd crew;good;8 cylinders;gas;other;pickup;white;ca
phoenix;53966;2016;cadillac;escalade;like new;8 cylinders;gas;automatic;truck;white;az
fresno / madera;53950;2015;ram;2500;excellent;6 cylinders;diesel;automatic;pickup;silver;ca
anchorage / mat-su;53900;2019;dodge;grand caravan gt;like new;6 cylinders;gas;automatic;van;white;ak
fayetteville;53900;2016;ford;f-350 sd;excellent;8 cylinders;diesel;automatic;truck;black;ar
bakersfield;53900;2018;ram;3500;good;6 cylinders;diesel;automatic;truck;white;ca
chico;53900;2018;ram;3500;good;6 cylinders;diesel;automatic;truck;white;ca
flagstaff / sedona;53895;2019;chevrolet;silverado 1500 ltz;good;8 cylinders;gas;automatic;pickup;black;az
flagstaff / sedona;53895;2019;chevrolet;silverado 1500 ltz;good;8 cylinders;gas;automatic;pickup;black;az
flagstaff / sedona;53895;2019;chevrolet;silverado 1500 ltz;good;8 cylinders;gas;automatic;pickup;black;az
flagstaff / sedona;53895;2019;chevrolet;silverado 1500 ltz;good;8 cylinders;gas;automatic;pickup;black;az
bakersfield;53590;2019;cadillac;escalade esv luxury;good;8 cylinders;gas;automatic;other;blue;ca
los angeles;53563;2020;lexus;gx 460;excellent;8 cylinders;gas;automatic;SUV;silver;ca
anchorage / mat-su;53499;2016;ram;2500 laramie;excellent;8 cylinders;diesel;automatic;pickup;black;ak
inland empire;53000;2018;tesla;model 3;excellent;other;electric;automatic;sedan;black;ca
fresno / madera;52999;2020;jeep;gladiator sport s;like new;6 cylinders;gas;automatic;offroad;red;ca
anchorage / mat-su;52995;2019;bmw;x3;excellent;6 cylinders;gas;automatic;SUV;black;ak
anchorage / mat-su;52995;2018;ford;f-150 limited 4x4;excellent;6 cylinders;gas;automatic;pickup;blue;ak
anchorage / mat-su;52995;2020;jeep;grand cherokee summit 4x4;excellent;6 cylinders;gas;automatic;SUV;black;ak
anchorage / mat-su;52995;2016;rover;sport;excellent;8 cylinders;gas;automatic;SUV;black;ak
anchorage / mat-su;52995;2018;ford;f-150 limited 4x4;excellent;6 cylinders;gas;automatic;pickup;blue;ak
anchorage / mat-su;52995;2020;jeep;grand cherokee summit 4x4;excellent;6 cylinders;gas;automatic;SUV;black;ak
anchorage / mat-su;52995;2016;rover;sport;excellent;8 cylinders;gas;automatic;SUV;black;ak
birmingham;52990;2014;ford;super duty f-550 drw;good;8 cylinders;diesel;automatic;truck;white;al
prescott;52950;2020;jeep;gladiator rubicon;like new;6 cylinders;gas;automatic;truck;red;az
bakersfield;52950;2015;ford;f350 super duty lariat;excellent;8 cylinders;diesel;automatic;truck;black;ca
inland empire;52900;2018;rover;velar;excellent;4 cylinders;gas;automatic;SUV;black;ca
flagstaff / sedona;52500;2012;chevrolet;silverado 2500hd;excellent;8 cylinders;diesel;automatic;pickup;white;az
tucson;52500;2012;chevrolet;silverado 2500hd;excellent;8 cylinders;diesel;automatic;pickup;white;az
inland empire;52000;2005;bmw;x5;good;6 cylinders;gas;automatic;SUV;black;ca
bakersfield;51995;2018;chevrolet;tahoe premier -;excellent;8 cylinders;gas;automatic;SUV;grey;ca
bakersfield;51995;2018;ford;f-150 lariat;excellent;6 cylinders;gas;automatic;truck;white;ca
birmingham;51990;2020;gmc;yukon slt sport utility 4d;good;8 cylinders;other;other;SUV;black;al
birmingham;51990;2018;cadillac;escalade esv premium;good;8 cylinders;other;automatic;SUV;black;al
huntsville / decatur;51990;2018;cadillac;escalade esv premium;good;8 cylinders;other;automatic;SUV;black;al
montgomery;51990;2018;cadillac;escalade esv premium;good;8 cylinders;other;automatic;SUV;black;al
flagstaff / sedona;51990;2018;cadillac;escalade esv premium;good;8 cylinders;other;automatic;SUV;black;az
prescott;51990;2014;mercedes-benz;e-class e 63 amg;good;8 cylinders;gas;other;sedan;black;az
little rock;51990;2014;mercedes-benz;e-class e 63 amg;good;8 cylinders;gas;other;sedan;black;ar
bakersfield;51900;2020;ram;2500 diesel;good;6 cylinders;diesel;automatic;truck;white;ca
chico;51900;2020;ram;2500 diesel;good;6 cylinders;diesel;automatic;truck;white;ca
show low;51000;2018;gmc;sierra 2500hd cre cab 4x4;good;8 cylinders;diesel;automatic;pickup;black;az
anchorage / mat-su;50995;2016;ford;f-350 lariat;excellent;8 cylinders;diesel;automatic;truck;white;ak
anchorage / mat-su;50995;2017;gmc;yukon denali;like new;8 cylinders;gas;automatic;SUV;grey;ak
anchorage / mat-su;50995;2019;toyota;tacoma trd pro 4x4;excellent;6 cylinders;gas;automatic;pickup;white;ak
chico;50990;2016;chevrolet;silverado 2500 hd crew;good;8 cylinders;other;other;pickup;black;ca
bakersfield;50950;2016;ford;f350 king ranch;excellent;8 cylinders;diesel;automatic;truck;white;ca
birmingham;50000;2019;toyota;tundra;like new;8 cylinders;gas;automatic;truck;white;al
anchorage / mat-su;50000;2019;ford;f-150;excellent;6 cylinders;gas;automatic;truck;red;ak
phoenix;50000;2021;ram;power wagon;like new;8 cylinders;gas;automatic;truck;red;az
gold country;50000;2011;mercedes-benz;sprinter 2500;good;6 cylinders;diesel;automatic;van;black;ca
inland empire;50000;2020;jeep;wrangler unlimited sport;new;6 cylinders;gas;automatic;SUV;black;ca
phoenix;49999;2019;ram;2500;like new;6 cylinders;diesel;automatic;truck;white;az
flagstaff / sedona;49997;2014;ford;super duty f-250;excellent;8 cylinders;diesel;automatic;pickup;white;az
anchorage / mat-su;49995;2015;chevrolet;silverado 2500hd 4x4;like new;8 cylinders;gas;automatic;truck;black;ak
anchorage / mat-su;49995;2019;lincoln;nautilus black label;excellent;6 cylinders;gas;automatic;SUV;brown;ak
anchorage / mat-su;49995;2019;lincoln;nautilus black label;excellent;6 cylinders;gas;automatic;SUV;brown;ak
flagstaff / sedona;49995;2019;chevrolet;silverado 1500 lt;good;8 cylinders;gas;automatic;pickup;red;az
chico;49995;2020;toyota;tacoma trd pro;like new;6 cylinders;gas;automatic;truck;black;ca
birmingham;49990;2015;ford;super duty f-550 drw;good;8 cylinders;diesel;automatic;truck;white;al
birmingham;49990;2015;ford;super duty f-550 drw;good;10 cylinders;gas;automatic;truck;green;al
birmingham;49990;2013;ford;super duty f-550 drw;good;8 cylinders;diesel;automatic;truck;white;al
birmingham;49990;2020;gmc;yukon slt sport utility 4d;good;8 cylinders;other;other;SUV;blue;al
birmingham;49990;2020;cadillac;xt5 sport suv 4d;good;6 cylinders;gas;other;SUV;white;al
huntsville / decatur;49990;2020;cadillac;xt5 sport suv 4d;good;6 cylinders;gas;other;other;white;al
montgomery;49990;2018;bmw;x5 xdrive50i sport utility;good;8 cylinders;gas;automatic;other;black;al
flagstaff / sedona;49990;2020;cadillac;xt5 sport suv 4d;good;6 cylinders;gas;other;other;white;az
sierra vista;49990;2017;chevrolet;corvette stingray;good;8 cylinders;gas;other;coupe;silver;az
little rock;49990;2018;bmw;x5 xdrive50i sport utility;good;8 cylinders;gas;automatic;other;black;ar
fort smith;49988;2016;ford;f250;like new;8 cylinders;diesel;automatic;truck;silver;ar
bakersfield;49950;2015;ford;f350 super duty lariat;excellent;8 cylinders;diesel;automatic;truck;white;ca
dothan;49900;2019;lexus;rx 450h;new;6 cylinders;hybrid;automatic;SUV;white;al
mobile;49900;2019;lexus;rx 450h;excellent;6 cylinders;hybrid;automatic;SUV;white;al
anchorage / mat-su;49900;2019;dodge;grand caravan;new;6 cylinders;gas;automatic;mini-van;white;ak
anchorage / mat-su;49900;2019;dodge;grand caravan;new;6 cylinders;gas;automatic;mini-van;white;ak
mohave county;49900;2020;chevrolet;camaro;like new;8 cylinders;gas;manual;coupe;blue;az
